rating,text
rotten,"Too much of the expository heavy lifting and strangely deep political discourse is done by the dialogue, pretty much suffocating any comedic potential in the process..."
fresh,"This meant-to-be-forgettable action comedy relies heavily on the universal appeal of the ever-charming Cena, which makes it all the more enjoyable. I had a fun time watching this one."
fresh,"When this film concentrates on its main point - that of how media can manipulate how a world leader is soon and how war is not always justified - it is on song. However, the film struggles with its tone, often not knowing whether it is drama or comedy."
rotten,"If you’re going to make a movie like Freelance, you’ve got to find a single moment (preferably two or three) that stands out and is mind-blowingly different than any other film."
rotten,Freelance progresses into a sluggish and hopelessly uninvolving midsection...
rotten,Freelance is an utter disaster that I can't believe John Cena and Alison Brie agreed to be a part of.
rotten,"“Freelance” is an incredibly goofy jumble of tones, flailing about as it overstays its welcome. There’s no need to hire this contractor."
rotten,"A head-scratching disaster that doesn’t so much as mix genres and tones but rather puzzlingly cycles through them with no apparent reason or thematic purpose, desperately hoping something starts to click"
rotten,"""Very dumb"" barely covers how silly and violent this half-assed Banana Republic riff turns out to be."
rotten,"This lifeless, generic, confusing, unfunny mess is so glaringly out of touch with reality that it makes your head hurt."
rotten,"Despite the likeable lead actors, Freelance is an instantly forgettable movie."
rotten,There’s an oppressive nothingness to “Freelance.” No romance. No comedy. No action.
rotten,It’s as if the studio saw the success of The Lost City and decided to type in “Tropical romantic-action-comedy with cheaper actors” on ChatGPT and hit enter.
rotten,"It will appeal only to those who would march into hell for John Cena, and its content reflects the barren, scorched scenery such fans would discover there — a wasteland of his considerable potential for mugging, making jokes and mowing people down."
rotten,"Cena and Brie appear as bored as they must have been doing the same stunts, making the same jokes, and being expected to carry material like this..."
rotten,Freelance is the kind of movie that once gathered dust in direct-to-DVD bins at Blockbuster.
rotten,This lackluster effort from director Pierre Morel signals that we have entered the dark age action comedies.
rotten,"Pretty much a copy of a copy of a copy with microscopic tweaks made along the way, viewers can be forgiven for thinking they’ve seen Freelance before because it’s so wildly indistinguishable from any other similarly minded films."
rotten,"Freelance is a low-rent, low-frills, low-energy action-comedy. Despite the copious talent of a strong cast, they fail to elevate the experience to something remotely entertaining."
rotten,"Laughs aren’t present in the feature, which eventually sheds its comedic interests, giving viewers a film of confusing tonality."
rotten,"Instead of getting into the action or the comedy, Freelance stops itself dead in its tracks to go over and over the laborious plotting of this story."
rotten,Some decent action scenes but the comedy falls flat.
